id,categoriaActual,descripcion,unidad,rubroPropuesto,subrubroPropuesto,tipoIntervencionPropuesto,sistemaConstructivoPropuesto,alcancePropuesto,especialidadPropuesta,confianza,requiereRevisionHumana,observacion
1,Pintura,Pintura muros interiores (2 manos),m²,Pinturas y recubrimientos,Pinturas,Obra nueva,No aplica / mixto,Suministro e instalación,Pintura,alta,false,
2,Pintura,Pintura muros exteriores (2 manos),m²,Pinturas y recubrimientos,Pinturas,Obra nueva,No aplica / mixto,Suministro e instalación,Pintura,alta,false,
3,Pintura,Pintura cielos,m²,Pinturas y recubrimientos,Cielos,Obra nueva,No aplica / mixto,Suministro e instalación,Pintura,alta,false,
4,Pintura,Pintura puertas y ventanas (2 manos),m²,Pinturas y recubrimientos,Ventanas,Obra nueva,No aplica / mixto,Suministro e instalación,Pintura,alta,false,
5,Pintura,Pintura anticorrosiva estructura met.,m²,Pinturas y recubrimientos,Pinturas,Obra nueva,No aplica / mixto,Suministro e instalación,Pintura,alta,false,
6,Pintura,Pintura repaso 1 mano (mantención),m²,Pinturas y recubrimientos,Pinturas,Reparación,No aplica / mixto,Reparación parcial,Pintura,alta,false,
10,Albañilería,Radier hormigón H-20,m³,Albañilería,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Construcción general,alta,false,
11,Albañilería,Radier hormigón H-25,m³,Albañilería,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Construcción general,alta,false,
12,Albañilería,Muro albañilería reforzada c/bloques,m²,Albañilería,Albañilería,Obra nueva,Albañilería,Suministro e instalación,Construcción general,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
13,Albañilería,Muro albañilería ladrillo fiscal,m²,Albañilería,Albañilería,Obra nueva,Albañilería,Suministro e instalación,Construcción general,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
14,Albañilería,Fundación corrida H-20,m³,Albañilería,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Construcción general,alta,false,
15,Albañilería,Losa hormigón H-20,m³,Albañilería,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Construcción general,alta,false,
16,Albañilería,Losa hormigón H-25,m³,Albañilería,Hormigón estructural,Obra nueva,Hormigón,Suministro e instalación,Construcción general,alta,false,
17,Albañilería,Estuco exterior,m²,Albañilería,Albañilería,Obra nueva,No aplica / mixto,Suministro e instalación,Construcción general,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
18,Albañilería,Estuco interior,m²,Albañilería,Albañilería,Obra nueva,No aplica / mixto,Suministro e instalación,Construcción general,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
19,Albañilería,Reparación estuco exterior parcial,m²,Albañilería,Albañilería,Reparación,No aplica / mixto,Suministro e instalación,Construcción general,alta,false,Subrubro heredado de la categoría actual (sin coincidencia de palabra clave más específica).
20,Metalcon NC,Muro perimetral Metalcon C150 + OSB + estuco,m²,Construcción liviana,Cierres y muros perimetrales,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
21,Metalcon NC,Muro perimetral Metalcon C200 + OSB + estuco,m²,Construcción liviana,Cierres y muros perimetrales,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
22,Metalcon NC,Tabique Metalcon 89mm + lana + 1 placa yeso,m²,Construcción liviana,Tabiquería,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
23,Metalcon NC,Tabique Metalcon 65mm doble placa yeso,m²,Construcción liviana,Tabiquería,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
24,Metalcon NC,Tabique Metalcon 65mm 1 placa yeso simple,m²,Construcción liviana,Tabiquería,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
25,Metalcon NC,Tabique Metalcon 89mm + placa RH baño/cocina,m²,Construcción liviana,Tabiquería,Obra nueva,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
26,Metalcon Rem.,Tabique Metalcon 65mm en remodelación,m²,Construcción liviana,Tabiquería,Remodelación,Metalcon (acero galvanizado liviano),Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
30,Metalcon NC,Techumbre Metalcon correas + omegas + zinc 0.35,m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Zinc,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
31,Metalcon NC,Techumbre Metalcon correas + omegas + zinc 0.5,m²,Construcción liviana,Cubiertas y techumbres,Obra nueva,Zinc,Suministro e instalación,Construcción en seco (steel framing / madera),alta,false,
