catalogId,descripcion,rubroActual,subrubroActual,subrubroPropuesto,justificacion,confianza
12,"Muro albañilería reforzada c/bloques","Albañilería","Albañilería","Muros de albañilería","Clasificación funcional según descripción","Alta"
13,"Muro albañilería ladrillo fiscal","Albañilería","Albañilería","Muros de albañilería","Clasificación funcional según descripción","Alta"
17,"Estuco exterior","Albañilería","Albañilería","Estucos y revoques","Clasificación funcional según descripción","Alta"
18,"Estuco interior","Albañilería","Albañilería","Estucos y revoques","Clasificación funcional según descripción","Alta"
19,"Reparación estuco exterior parcial","Albañilería","Albañilería","Estucos y revoques","Clasificación funcional según descripción","Alta"
33,"Cambio zinc ondulado estructura Metalcon","Techumbres y aguas lluvias","Techumbres y aguas lluvias","Cubiertas","Clasificación funcional según descripción","Alta"
43,"Cambio zinc ondulado estructura madera","Techumbres y aguas lluvias","Techumbres y aguas lluvias","Cubiertas","Clasificación funcional según descripción","Alta"
44,"Reparación cercha pino (parcial)","Techumbres y aguas lluvias","Techumbres y aguas lluvias","Estructuras de techumbre","Clasificación funcional según descripción","Alta"
52,"Sellado fisuras muro exterior","Impermeabilización","Impermeabilización","Impermeabilización de muros","Clasificación funcional según descripción","Alta"
76,"Cornisas perfil MDF","Puertas, ventanas y carpinterías","Puertas, ventanas y carpinterías","Molduras y terminaciones","Clasificación funcional según descripción","Alta"
77,"Guardapolvos MDF","Puertas, ventanas y carpinterías","Puertas, ventanas y carpinterías","Molduras y terminaciones","Clasificación funcional según descripción","Alta"
82,"Punto eléctrico completo (luz + toma)","Instalaciones eléctricas","Instalaciones eléctricas","Iluminación","Clasificación funcional según descripción","Alta"
84,"Instalación eléctrica completa vivienda 60m²","Instalaciones eléctricas","Instalaciones eléctricas","Redes y canalizaciones","Clasificación funcional según descripción","Alta"
85,"Cambio foco LED (mantención)","Instalaciones eléctricas","Instalaciones eléctricas","Iluminación","Clasificación funcional según descripción","Alta"
92,"Instalación sanitaria completa baño","Instalaciones sanitarias","Instalaciones sanitarias","Redes de agua potable","Clasificación funcional según descripción","Alta"
93,"Artefactos sanitarios c/cubículos","Instalaciones sanitarias","Instalaciones sanitarias","Artefactos sanitarios","Clasificación funcional según descripción","Alta"
94,"Cambio llave de paso (mantención)","Instalaciones sanitarias","Instalaciones sanitarias","Grifería","Clasificación funcional según descripción","Alta"
96,"Instalación cilindros 45KL casino","Instalaciones de gas","Instalaciones de gas","Redes y suministro","Clasificación funcional según descripción","Alta"
122,"Portón corredera (fabricación + instalación)","Estructuras metálicas","Estructuras metálicas","Cierres y accesos","Clasificación funcional según descripción","Alta"
127,"Portón abatible 2 hojas (fabricación + inst.)","Estructuras metálicas","Estructuras metálicas","Cierres y accesos","Clasificación funcional según descripción","Alta"
128,"Cobertizo / pérgola metálica (fab. + inst.)","Estructuras metálicas","Estructuras metálicas","Estructuras exteriores","Clasificación funcional según descripción","Alta"
130,"Excavación manual fundaciones","Movimiento de tierras","Movimiento de tierras","Excavaciones","Clasificación funcional según descripción","Alta"
131,"Excavación mecánica (retroexcavadora)","Movimiento de tierras","Movimiento de tierras","Excavaciones","Clasificación funcional según descripción","Alta"
132,"Relleno compactado material selecto","Movimiento de tierras","Movimiento de tierras","Rellenos y nivelación","Clasificación funcional según descripción","Alta"
133,"Nivelación y compactación terreno","Movimiento de tierras","Movimiento de tierras","Rellenos y nivelación","Clasificación funcional según descripción","Alta"
139,"Muro contención hormigón armado H-25","Obras exteriores y urbanización","Obras exteriores y urbanización","Muros de contención","Clasificación funcional según descripción","Alta"
140,"Cerco perimetral poste HEB c/cadena","Obras exteriores y urbanización","Obras exteriores y urbanización","Cierres perimetrales","Clasificación funcional según descripción","Alta"
165,"Llave de paso esfera 3/4" (reemplazo)","Instalaciones sanitarias","Instalaciones sanitarias","Grifería","Clasificación funcional según descripción","Alta"
167,"Estanque elevado 500L + estructura","Instalaciones sanitarias","Instalaciones sanitarias","Sistemas de almacenamiento","Clasificación funcional según descripción","Alta"
181,"Sello bituminoso doble tratamiento","Obras exteriores y urbanización","Obras exteriores y urbanización","Pavimentos y calzadas","Clasificación funcional según descripción","Alta"
183,"Base estabilizada granular 15cm","Obras exteriores y urbanización","Obras exteriores y urbanización","Pavimentos y calzadas","Clasificación funcional según descripción","Alta"
188,"Estructura hormigón armado piscina H-25","Piscinas","Piscinas","Estructura de piscina","Clasificación funcional según descripción","Alta"
189,"Impermeabilización piscina (membrana)","Piscinas","Piscinas","Revestimientos","Clasificación funcional según descripción","Alta"
191,"Sistema filtración + bomba (inst.)","Piscinas","Piscinas","Equipos y recirculación","Clasificación funcional según descripción","Alta"
