catalogId,descripcion,tipoActual,tipoPropuesto,justificacion,confianza
85,"Cambio foco LED (mantención)","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
94,"Cambio llave de paso (mantención)","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
97,"Sello verde y prueba hermeticidad","Servicio profesional","Reparación","Término explícito en la descripción","Alta"
171,"Cerco perimetral obras (inst.+retiro)","Obra nueva","Desmontaje","Término explícito en la descripción","Alta"
181,"Sello bituminoso doble tratamiento","Obra nueva","Reparación","Término explícito en la descripción","Alta"
206,"Jardín (preparación terreno + pasto)","Obra nueva","Reparación","Término explícito en la descripción","Alta"
314,"Cambio herrajes / flotador estanque WC","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
316,"Cambio de sifón lavamanos / lavaplatos","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
318,"Cambio de enchufe/interruptor en mal estado","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
343,"Limpieza y mantención equipo split mural","Mantención preventiva","Mantención correctiva","Término explícito en la descripción","Alta"
344,"Sellado preventivo de juntas y fisuras exteriores","Mantención preventiva","Reparación","Término explícito en la descripción","Alta"
357,"Limpieza y perfilado final de franja de cierre","Obra nueva","Mantención correctiva","Término explícito en la descripción","Alta"
362,"Limpieza fina post obra o entrega","Obra nueva","Mantención correctiva","Término explícito en la descripción","Alta"
422,"Cambio de ampolleta o foco LED","Mantención correctiva","Reposición","Término explícito en la descripción","Alta"
